SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día
TC3VS0644T00BLA1P,3808,152.32,M1,920.7,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01AMA1P,470,18.8,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01BLA1P,8363,334.52,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01CEL1P,2467,98.68,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01ROJ1P,697,27.88,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T01ROS1P,3648,145.92,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13ROS1P,45,1.8,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00AMA1P,1327,53.08,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00BLA1P,9100,364,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00CEL1P,1506,60.24,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROJ1P,1774,70.96,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00SUR1P,6342,253.68,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROS1P,1332,53.28,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00VTI1P,542,21.68,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00AMB2P,183,7.32,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00BLA2P,189,7.56,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00CEB2P,184,7.36,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00ROB2P,271,10.84,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00RSB2P,152,6.08,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T00VEB2P,79,3.16,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0644T01BLA1P,3881,155.24,M3,760.42,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13AMA1P,30,1.2,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13BLA1P,191,7.64,M2,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13CEL1P,21,0.84,M3,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0600T13ROJ1P,546,21.84,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0644T35BLA1P,960,38.4,M2,530.22,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01SNA3P,274,10.96,M3,441.2925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01AMA1P,95,3.8,M1,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01BLA1P,229,9.16,M2,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01CEL1P,83,3.32,M3,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T01ROJ1P,95,3.8,M1,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01AMA1P,664,26.56,M2,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01BLA1P,4048,161.92,M3,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01CEL1P,726,29.04,M1,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01ROJ1P,1286,51.44,M2,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01ROS1P,656,26.24,M3,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01VTI1P,402,16.08,M1,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T01SNO3P,584,23.36,M2,600.2925,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T13BLA1P,294,11.76,M3,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T13CEL1P,598,23.92,M1,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0712T13ROJ1P,307,12.28,M2,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13AMA1P,296,11.84,M3,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13BLA1P,1213,48.52,M1,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13CEL1P,172,6.88,M2,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13ROJ1P,484,19.36,M3,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13ROS1P,335,13.4,M1,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0418T13VTI1P,36,1.44,M2,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0644T57BLA1P,1070,42.8,M3,469.5,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35AZU1P,183,7.32,M1,417.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35AMA1P,3,0.12,M2,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35BLA1P,48,1.92,M3,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35CEL1P,7,0.28,M1,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35ROJ1P,24,0.96,M2,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T35ROS1P,24,0.96,M3,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57PIE1P,360,14.4,M1,443.0825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57AZU1P,2422,96.88,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57BEI1P,5,0.2,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57BLA1P,4162,166.48,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57CAF1P,1212,48.48,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57CEL1P,1112,44.48,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57GRC1P,1024,40.96,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57KAK1P,157,6.28,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57MUS1P,661,26.44,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57NEG1P,2127,85.08,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57PIE1P,1428,57.12,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57ROJ1P,15,0.6,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T57VOS1P,154,6.16,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57BEI1P,596,23.84,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57CEL1P,5,0.2,M3,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57MUS1P,157,6.28,M1,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57NEG1P,23,0.92,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57ROJ1P,53,2.12,M3,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57ROS1P,28,1.12,M1,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57VOS1P,26,1.04,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57AMA1P,8,0.32,M3,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57AZU1P,228,9.12,M1,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57BLA1P,85,3.4,M2,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T57CAF1P,3,0.12,M3,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T35AMA1P,30,1.2,M1,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T35BLA1P,12,0.48,M2,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T35CEL1P,65,2.6,M3,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T35ROJ1P,95,3.8,M1,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T35AMA1P,15,0.6,M2,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T35BLA1P,323,12.92,M3,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T35CEL1P,27,1.08,M1,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T35ROJ1P,13,0.52,M2,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T35ROS1P,30,1.2,M3,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57AMA1P,1484,59.36,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57AZU1P,360,14.4,M2,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57BLA1P,1040,41.6,M3,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57CEL1P,6,0.24,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57NEG1P,6,0.24,M2,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57ROJ1P,684,27.36,M3,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T57ROS1P,91,3.64,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0644T85BLA1P,2518,100.72,M2,404.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0644T79BLA1P,2833,113.32,M3,403.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012AMA1P,969,38.76,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012AZU1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012BLA1P,1500,60,M3,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012CEL1P,606,24.24,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012PIE1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012ROJ1P,753,30.12,M3,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T1012ROS1P,480,19.2,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85AMA1P,2060,82.4,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85AZU1P,578,23.12,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85BEI1P,28,1.12,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85BLA1P,2100,84,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85CEL1P,945,37.8,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85NEG1P,611,24.44,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85PIE1P,732,29.28,M2,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85ROJ1P,1069,42.76,M3,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0600T85ROS1P,660,26.4,M1,341.79,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79AMA1P,2576,103.04,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79AZU1P,514,20.56,M3,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79BLA1P,1515,60.6,M1,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79CEL1P,696,27.84,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79PIE1P,240,9.6,M3,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79ROJ1P,988,39.52,M1,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0600T79ROS1P,636,25.44,M2,345.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85AZU1P,3546,141.84,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85BEH1P,298,11.92,M1,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85BEI1P,6,0.24,M2,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85BLA1P,5677,227.08,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85CAF1P,891,35.64,M1,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85CEK1P,1927,77.08,M2,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85GRC1P,1572,62.88,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85GRO1P,282,11.28,M1,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85KAK1P,322,12.88,M2,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85MUS1P,869,34.76,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85NEG1P,3048,121.92,M1,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85VOS1P,191,7.64,M2,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T85PIE1P,2244,89.76,M3,326.76,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85AZU1P,816,32.64,M1,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85BEI1P,246,9.84,M2,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85BLA1P,2664,106.56,M3,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85CAF1P,456,18.24,M1,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85GRI1P,12,0.48,M2,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85MUS1P,426,17.04,M3,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85NEG1P,1064,42.56,M1,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0418T85VOS1P,535,21.4,M2,336.84,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012AZU1P,6113,244.52,M3,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012BEI1P,2317,92.68,M1,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012BLA1P,5128,205.12,M2,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012CAF1P,3622,144.88,M3,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012CFH1P,221,8.84,M1,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012CEK1P,2100,84,M2,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012GOS1P,1390,55.6,M3,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012GRC1P,2675,107,M1,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012KAK1P,455,18.2,M2,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012MUS1P,1956,78.24,M3,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012NEG1P,7200,288,M1,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012PIE1P,2519,100.76,M2,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0575T1012VIN1P,188,7.52,M3,324.57,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79AZU1P,3631,145.24,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79BEI1P,62,2.48,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79BLA1P,6265,250.6,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79CAF1P,1351,54.04,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79CEL1P,1920,76.8,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79GRC1P,1891,75.64,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79KAK1P,46,1.84,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79MUS1P,461,18.44,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79NEG1P,2643,105.72,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79PIE1P,1542,61.68,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79ROJ1P,3,0.12,M2,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79VIN1P,6,0.24,M3,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC5VS0712T79VOS1P,192,7.68,M1,295.93,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79AMA1P,326,13.04,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79AZU1P,227,9.08,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79BLA1P,118,4.72,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79CAF1P,433,17.32,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79CEL1P,6,0.24,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79GRI1P,251,10.04,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79MUS1P,223,8.92,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79NEG1P,39,1.56,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79ROJ1P,5,0.2,M1,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79ROS1P,275,11,M2,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0418T79VOS1P,477,19.08,M3,309.214,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012AZU1P,334,13.36,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012BEI1P,582,23.28,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012BLA1P,442,17.68,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012CAF1P,200,8,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012GRC1P,154,6.16,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012GOS1P,587,23.48,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012MUS1P,324,12.96,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012NEG1P,27,1.08,M2,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012PIE1P,574,22.96,M3,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC1VS0129T1012VEM1P,515,20.6,M1,288.59,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012AMA1P,554,22.16,M2,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012AZU1P,324,12.96,M3,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012BLA1P,28,1.12,M1,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012ROJ1P,156,6.24,M2,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T1012ROS1P,74,2.96,M3,288.64,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85AZU1P,209,8.36,M1,218.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85BLA1P,658,26.32,M2,218.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC2VS0631T85PIE1P,204,8.16,M3,223.98,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79AZU1P,243,9.72,M1,220.48,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79BLA1P,896,35.84,M2,220.48,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79AMA1P,339,13.56,M3,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79CEL1P,271,10.84,M1,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79ROJ1P,588,23.52,M2,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC4VS0631T79ROS1P,606,24.24,M3,228.99,0.9,0.85,0.1,0.9,0.9,544.33,8,1
TC3VS0644T13BLA1P,5090,203.6,M1,182,0.9,0.85,0.1,0.9,0.9,544.33,8,1
