SKU,Demanda,Qty,Máquina,TR min/u,Er,%U,%Srap,(1-Scrap),Vi,Takt Time Meta min/U,Horas Disponibles por Turno,Turnos disponibles al día,TR min/u total,Tci min/kilo,Tc/TktT,No MQ,Takt Time Prod. Min/Un,Minutos disponibles por mes-turno,Minutos totales de carga,HORAS EXTRA
TC3VS0644T00BLA1P,3808,152.32,M1,920.7,0.9,0.85,0.1,0.9,0.9,544.33,8,1,140241.024,120408.96,221.20581265041426,222.0,542.3827027027028,9600,82615.73327567568,1216.928887927928
TC3VS0600T01AMA1P,470,18.8,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,14195.127999999999,12187.73616161616,22.390344389646277,23.0,529.9015722441809,9600,9962.149558190602,6.0358259698433665
TC3VS0600T01BLA1P,8363,334.52,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,252582.67119999998,216863.90961616163,398.40521304385504,399.0,543.5185704665705,9600,181817.83219247716,2870.297203207953
TC3VS0600T01CEL1P,2467,98.68,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,74509.3208,63972.64917171717,117.52548853033484,118.0,542.1410946755692,9600,53498.48322258517,731.6413870430862
TC3VS0600T01ROJ1P,697,27.88,M2,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,21051.072799999998,18074.153414141416,33.20440433953927,34.0,531.5927474747475,9600,14820.80579959596,87.01342999326602
TC3VS0600T01ROS1P,3648,145.92,M3,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,110178.35519999998,94597.57769696966,173.7871836881481,174.0,543.6642396377566,9600,79331.48584794144,1162.191430799024
TC3VS0600T13ROS1P,45,1.8,M1,755.06,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1359.108,1166.9109090909092,2.143756377732091,3.0,388.97030303030306,9600,700.1465454545455,0.0
TC3VS0418T00AMA1P,1327,53.08,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,39937.2593,34289.56606565656,62.99407724295291,63.0,544.2788264389931,9600,28890.32010738175,321.50533512302917
TC3VS0418T00BLA1P,9100,364.0,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,273872.69,235143.21868686867,431.98651312047593,432.0,544.3130062196034,9600,198129.93426393563,3142.1655710655937
TC3VS0418T00CEL1P,1506,60.24,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,45324.4254,38914.9106969697,71.49139436916889,72.0,540.4848707912458,9600,32558.808616464652,382.6468102744109
TC3VS0418T00ROJ1P,1774,70.96,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,53390.126599999996,45840.00768686868,84.21363453579387,85.0,539.2942080808081,9600,38268.31700541414,477.80528342356894
TC3VS0418T00SUR1P,6342,253.68,M3,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,190868.19780000002,163876.73548484853,301.0613699131933,302.0,542.6381969696971,9600,137656.45780727276,2134.2742967878794
TC3VS0418T00ROS1P,1332,53.28,M1,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,40087.7388,34418.76563636364,63.2314324699422,64.0,537.7932130681819,9600,28653.622392272733,317.56037320454556
TC3VS0418T00VTI1P,542,21.68,M2,752.3975,0.9,0.85,0.1,0.9,0.9,544.33,8,1,16311.9778,14005.233464646464,25.729306605637138,26.0,538.6628255633256,9600,11678.210058212899,34.63683430354831
TC3VS0418T00AMB2P,183,7.32,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5814.9165,4992.605075757576,9.172018951293472,10.0,499.2605075757576,9600,3654.5869154545458,0.0
TC3VS0418T00BLA2P,189,7.56,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6005.5695,5156.297045454545,9.472740884122764,10.0,515.6297045454545,9600,3898.160566363636,0.0
TC3VS0418T00CEB2P,184,7.36,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5846.692000000001,5019.887070707071,9.222139273431688,10.0,501.9887070707071,9600,3694.6368840404043,0.0
TC3VS0418T00ROB2P,271,10.84,M3,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8611.1605,7393.420631313132,13.582607299456454,14.0,528.1014736652237,9600,5724.619974531025,0.0
TC3VS0418T00RSB2P,152,6.08,M1,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4829.876,4146.863232323232,7.6182889650087855,8.0,518.357904040404,9600,3151.6160565656564,0.0
TC3VS0418T00VEB2P,79,3.16,M2,794.3875,0.9,0.85,0.1,0.9,0.9,544.33,8,1,2510.2645,2155.277601010101,3.9595054489190398,4.0,538.8194002525253,9600,1702.66930479798,0.0
TC3VS0644T01BLA1P,3881,155.24,M3,760.42,0.9,0.85,0.1,0.9,0.9,544.33,8,1,118047.6008,101354.00068686869,186.1995493301282,187.0,542.0000036730946,9600,84140.08057021121,1242.3346761701869
TC3VS0600T13AMA1P,30,1.2,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,620.592,532.8315151515152,0.9788758935783719,1.0,532.8315151515152,9600,639.3978181818183,0.0
TC3VS0600T13BLA1P,191,7.64,M2,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,3951.1023999999998,3392.3606464646464,6.232176522448967,7.0,484.62294949494947,9600,3702.5193341414138,0.0
TC3VS0600T13CEL1P,21,0.84,M3,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,434.41439999999994,372.9820606060605,0.68521312550486,1.0,372.9820606060605,9600,313.3049309090908,0.0
TC3VS0600T13ROJ1P,546,21.84,M1,517.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,11294.774399999998,9697.533575757574,17.815541263126363,18.0,538.7518653198653,9600,11766.340738585857,36.10567897643095
TC4VS0644T35BLA1P,960,38.4,M2,530.22,0.9,0.85,0.1,0.9,0.9,544.33,8,1,20360.448,17481.192727272726,32.11506389005332,33.0,529.7331129476584,9600,20341.75153719008,179.02919228650134
TC3VS0418T01SNA3P,274,10.96,M3,441.2925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4836.5658,4152.607,7.628840960446787,8.0,519.075875,9600,5689.0715900000005,0.0
TC3VS0712T01AMA1P,95,3.8,M1,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1875.2714999999998,1610.0815909090907,2.9579144836938815,3.0,536.6938636363635,9600,2039.4366818181813,0.0
TC3VS0712T01BLA1P,229,9.16,M2,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4520.3913,3881.1440454545454,7.130130702798937,8.0,485.1430056818182,9600,4443.909932045454,0.0
TC3VS0712T01CEL1P,83,3.32,M3,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1638.3951,1406.7028636363636,2.5842831804904445,3.0,468.90095454545457,9600,1556.7511690909091,0.0
TC3VS0712T01ROJ1P,95,3.8,M1,493.4925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1875.2714999999998,1610.0815909090907,2.9579144836938815,3.0,536.6938636363635,9600,2039.4366818181813,0.0
TC3VS0418T01AMA1P,664,26.56,M2,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,14134.076640000001,12135.318327272727,22.294046492518742,23.0,527.6225359683795,9600,14013.654555320158,73.56090925533596
TC3VS0418T01BLA1P,4048,161.92,M3,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,86166.78048,73981.5792,135.9131027134275,136.0,543.9821999999999,9600,88081.59782399998,1308.0266303999997
TC3VS0418T01CEL1P,726,29.04,M1,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,15453.824760000001,13268.4354,24.375719508386457,25.0,530.737416,9600,15412.61456064,96.87690934400001
TC3VS0418T01ROJ1P,1286,51.44,M2,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,27374.130360000003,23503.04121818182,43.17792739364323,44.0,534.1600276859505,9600,27477.19182416529,297.9531970694215
TC3VS0418T01ROS1P,656,26.24,M3,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,13963.78656,11989.109672727272,22.025443522729358,23.0,521.265637944664,9600,13678.010339667984,67.9668389944664
TC3VS0418T01VTI1P,402,16.08,M1,532.1565,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8557.07652,7346.9848909090915,13.497299231916468,14.0,524.7846350649351,9600,8438.536931844155,0.0
TC3VS0418T01SNO3P,584,23.36,M2,600.2925,0.9,0.85,0.1,0.9,0.9,544.33,8,1,14022.8328,12039.805939393942,22.118578691958813,23.0,523.4698234519105,9600,12228.25507583663,43.80425126394384
TC3VS0712T13BLA1P,294,11.76,M3,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5670.9366,4868.98596969697,8.944915712338048,9.0,540.998441077441,9600,6362.141667070707,0.0
TC3VS0712T13CEL1P,598,23.92,M1,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,11534.762200000001,9903.583707070706,18.194080258429086,19.0,521.2412477405635,9600,12468.09064595428,47.80151076590467
TC3VS0712T13ROJ1P,307,12.28,M2,482.2225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5921.6923,5084.281267676767,9.34043919621694,10.0,508.4281267676767,9600,6243.497396707069,0.0
TC3VS0418T13AMA1P,296,11.84,M3,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6101.655199999999,5238.7948686868685,9.624299356432436,10.0,523.8794868686869,9600,6202.733124525253,0.0
TC3VS0418T13BLA1P,1213,48.52,M1,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,25004.4181,21468.439782828278,39.44011864646129,40.0,536.7109945707069,9600,26041.217456570703,274.02029094284507
TC3VS0418T13CEL1P,172,6.88,M2,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,3545.5564,3044.1645858585857,5.592498274683713,6.0,507.3607643097643,9600,3490.6420584511784,0.0
TC3VS0418T13ROJ1P,484,19.36,M3,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,9977.030799999999,8566.137555555553,15.737030028761142,16.0,535.3835972222221,9600,10365.026442222219,12.75044070370365
TC3VS0418T13ROS1P,335,13.4,M1,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6905.5895,5929.04148989899,10.892365825692117,11.0,539.0037718089991,9600,7222.650542240588,0.0
TC3VS0418T13VTI1P,36,1.44,M2,515.3425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,742.0931999999999,637.1507272727272,1.170522894701242,2.0,318.5753636363636,9600,458.74852363636353,0.0
TC4VS0644T57BLA1P,1070,42.8,M3,469.5,0.9,0.85,0.1,0.9,0.9,544.33,8,1,20094.6,17252.939393939396,31.69573492906765,32.0,539.1543560606061,9600,23075.806439393942,224.59677398989905
TC4VS0600T35AZU1P,183,7.32,M1,417.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,3059.1012000000005,2626.5010303030303,4.825199842564309,5.0,525.3002060606061,9600,3845.197508363637,0.0
TC4VS0600T35AMA1P,3,0.12,M2,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,53.5092,45.94224242424242,0.0844014521048673,1.0,45.94224242424242,9600,5.513069090909091,0.0
TC4VS0600T35BLA1P,48,1.92,M3,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,856.1472,735.0758787878788,1.3504232336778768,2.0,367.5379393939394,9600,705.6728436363636,0.0
TC4VS0600T35CEL1P,7,0.28,M1,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,124.85480000000003,107.19856565656568,0.19693672157802375,1.0,107.19856565656568,9600,30.01559838383839,0.0
TC4VS0600T35ROJ1P,24,0.96,M2,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,428.0736,367.5379393939394,0.6752116168389384,1.0,367.5379393939394,9600,352.8364218181818,0.0
TC4VS0600T35ROS1P,24,0.96,M3,445.91,0.9,0.85,0.1,0.9,0.9,544.33,8,1,428.0736,367.5379393939394,0.6752116168389384,1.0,367.5379393939394,9600,352.8364218181818,0.0
TC4VS0600T57PIE1P,360,14.4,M1,443.0825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6380.388,5478.1109090909085,10.063951847392039,11.0,498.010082644628,9600,7171.345190082644,0.0
TC5VS0712T57AZU1P,2422,96.88,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,43071.152599999994,36980.28253535353,67.93724860903042,68.0,543.8276843434343,9600,52686.02605919191,718.1004343198651
TC5VS0712T57BEI1P,5,0.2,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,88.9165,76.3424494949495,0.14025030678990594,1.0,76.3424494949495,9600,15.268489898989902,0.0
TC5VS0712T57BLA1P,4162,166.48,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,74014.0946,63547.45495959596,116.74435537191769,117.0,543.1406406803073,9600,90422.05386045756,1347.034231007626
TC5VS0712T57CAF1P,1212,48.48,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,21553.359599999996,18505.409757575755,33.99667436587319,34.0,544.2767575757575,9600,26386.537207272722,279.77562012121206
TC5VS0712T57CEL1P,1112,44.48,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,19775.029599999998,16978.560767676765,31.19166823007507,32.0,530.5800239898989,9600,23600.199467070703,233.33665778451171
TC5VS0712T57GRC1P,1024,40.96,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,18210.0992,15634.933656565656,28.723262830572732,29.0,539.1356433298502,9600,22082.995950790664,208.04993251317774
TC5VS0712T57KAK1P,157,6.28,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,2791.9781,2397.152914141414,4.403859633203045,5.0,479.4305828282828,9600,3010.824060161616,0.0
TC5VS0712T57MUS1P,661,26.44,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,11754.7613,10092.471823232321,18.54109055762556,19.0,531.1827275385432,9600,14044.471316119083,74.07452193531805
TC5VS0712T57NEG1P,2127,85.08,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,37825.079099999995,32476.078015151514,59.66248050842597,60.0,541.2679669191918,9600,46051.07862548484,607.5179770914141
TC5VS0712T57PIE1P,1428,57.12,M2,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,25394.552399999997,21803.403575757573,40.05548761919712,41.0,531.7903311160384,9600,30375.86371334811,346.2643952224685
TC5VS0712T57ROJ1P,15,0.6,M3,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,266.74949999999995,229.02734848484843,0.4207509203697177,1.0,229.02734848484843,9600,137.41640909090904,0.0
TC5VS0712T57VOS1P,154,6.16,M1,444.5825,0.9,0.85,0.1,0.9,0.9,544.33,8,1,2738.6282,2351.3474444444446,4.319709449129102,5.0,470.26948888888893,9600,2896.860051555556,0.0
TC4VS0418T57BEI1P,596,23.84,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,11043.7012,9481.965676767677,17.41951697824422,18.0,526.7758709315376,9600,12558.336763007857,49.305612716797626
TC4VS0418T57CEL1P,5,0.2,M3,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,92.64850000000001,79.54669191919193,0.1461368874013777,1.0,79.54669191919193,9600,15.909338383838387,0.0
TC4VS0418T57MUS1P,157,6.28,M1,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,2909.1629000000003,2497.766126262626,4.588698264403259,5.0,499.55322525252524,9600,3137.1942545858587,0.0
TC4VS0418T57NEG1P,23,0.92,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,426.1831,365.9147828282828,0.6722296820463373,1.0,365.9147828282828,9600,336.6416002020202,0.0
TC4VS0418T57ROJ1P,53,2.12,M3,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,982.0741,843.1949343434344,1.5490510064546035,2.0,421.5974671717172,9600,893.7866304040405,0.0
TC4VS0418T57ROS1P,28,1.12,M1,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,518.8316000000001,445.4614747474748,0.8183665694477151,1.0,445.4614747474748,9600,498.9168517171718,0.0
TC4VS0418T57VOS1P,26,1.04,M2,463.2425,0.9,0.85,0.1,0.9,0.9,544.33,8,1,481.7722,413.642797979798,0.7599118144871639,1.0,413.642797979798,9600,430.18850989898993,0.0
TC4VS0418T57AMA1P,8,0.32,M3,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,149.0632,127.98355555555554,0.23512126018326296,1.0,127.98355555555554,9600,40.95473777777777,0.0
TC4VS0418T57AZU1P,228,9.12,M1,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4248.3012,3647.5313333333334,6.700955915222996,7.0,521.0759047619048,9600,4752.212251428571,0.0
TC4VS0418T57BLA1P,85,3.4,M2,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1583.7965,1359.8252777777775,2.4981633894471686,3.0,453.2750925925925,9600,1541.1353148148144,0.0
TC4VS0418T57CAF1P,3,0.12,M3,465.8225,0.9,0.85,0.1,0.9,0.9,544.33,8,1,55.8987,47.993833333333335,0.08817047256872362,1.0,47.993833333333335,9600,5.75926,0.0
TC5VS0712T35AMA1P,30,1.2,M1,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1,527.244,452.6842424242424,0.8316356666438418,1.0,452.6842424242424,9600,543.2210909090909,0.0
TC5VS0712T35BLA1P,12,0.48,M2,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1,210.89759999999998,181.07369696969695,0.33265426665753667,1.0,181.07369696969695,9600,86.91537454545454,0.0
TC5VS0712T35CEL1P,65,2.6,M3,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1142.362,980.8158585858586,1.8018772777283238,2.0,490.4079292929293,9600,1275.0606161616163,0.0
TC5VS0712T35ROJ1P,95,3.8,M1,439.37,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1669.606,1433.500101010101,2.6335129443721654,3.0,477.83336700336696,9600,1815.7667946127945,0.0
TC4VS0418T35AMA1P,15,0.6,M2,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,276.798,237.6548484848485,0.436600680625445,1.0,237.6548484848485,9600,142.59290909090907,0.0
TC4VS0418T35BLA1P,323,12.92,M3,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,5960.3836,5117.501070707071,9.401467989467916,10.0,511.75010707070714,9600,6611.811383353536,0.0
TC4VS0418T35CEL1P,27,1.08,M1,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,498.2364,427.7787272727273,0.7858812251258009,1.0,427.7787272727273,9600,462.00102545454547,0.0
TC4VS0418T35ROJ1P,13,0.52,M2,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,239.8916,205.96753535353537,0.37838725654205235,1.0,205.96753535353537,9600,107.10311838383839,0.0
TC4VS0418T35ROS1P,30,1.2,M3,461.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,553.596,475.309696969697,0.87320136125089,1.0,475.309696969697,9600,570.3716363636363,0.0
TC4VS0600T57AMA1P,1484,59.36,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,25205.4432,21641.03709090909,39.75720076223814,40.0,541.0259272727272,9600,32115.29904290909,375.2549840484848
TC4VS0600T57AZU1P,360,14.4,M2,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,6114.528,5249.847272727273,9.644603958494429,10.0,524.9847272727272,9600,7559.780072727272,0.0
TC4VS0600T57BLA1P,1040,41.6,M3,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,17664.192,15166.225454545453,27.862189213428344,28.0,541.6509090909091,9600,22532.67781818182,215.54463030303032
TC4VS0600T57CEL1P,6,0.24,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,101.9088,87.49745454545454,0.16074339930824047,1.0,87.49745454545454,9600,20.99938909090909,0.0
TC4VS0600T57NEG1P,6,0.24,M2,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,101.9088,87.49745454545454,0.16074339930824047,1.0,87.49745454545454,9600,20.99938909090909,0.0
TC4VS0600T57ROJ1P,684,27.36,M3,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,11617.6032,9974.709818181818,18.324747521139415,19.0,524.9847272727272,9600,14363.582138181817,79.39303563636362
TC4VS0600T57ROS1P,91,3.64,M1,424.62,0.9,0.85,0.1,0.9,0.9,544.33,8,1,1545.6168,1327.0447272727272,2.43794155617498,3.0,442.3482424242424,9600,1610.1476024242425,0.0
TC4VS0644T85BLA1P,2518,100.72,M2,404.16,0.9,0.85,0.1,0.9,0.9,544.33,8,1,40706.995200000005,34950.45042424243,64.20820168692232,65.0,537.6992372960374,9600,54157.067180456885,742.6177863409481
TC4VS0644T79BLA1P,2833,113.32,M3,403.33,0.9,0.85,0.1,0.9,0.9,544.33,8,1,45705.355599999995,39241.97197979797,72.09224547571871,73.0,537.5612599972325,9600,60916.44198288638,855.2740330481064
TC2VS0600T1012AMA1P,969,38.76,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,13337.316,11451.23090909091,21.037295223652762,22.0,520.5104958677686,9600,20174.986819834707,176.24978033057843
TC2VS0600T1012AZU1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4955.040000000001,4254.327272727273,7.815713395784309,8.0,531.7909090909092,9600,7657.789090909092,0.0
TC2VS0600T1012BLA1P,1500,60.0,M3,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,20646.0,17726.363636363636,32.565472482434615,33.0,537.1625344352617,9600,32229.752066115703,377.1625344352617
TC2VS0600T1012CEL1P,606,24.24,M1,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,8340.984,7161.450909090909,13.156450882903584,14.0,511.53220779220777,9600,12399.540716883115,46.65901194805192
TC2VS0600T1012PIE1P,360,14.4,M2,344.1,0.9,0.85,0.1,0.9,0.9,544.33,8,1,4955.040000000001,4254.327272727273,7.815713395784309,8.0,531.7909090909092,9600,7657.789090909092,0.0
